Contest,Candidate or Measure,Position,Supporting ?,Committee Name,Transaction Type,Expense,,Name,TOTAL
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,DANIEL LURIE FOR MAYOR 2024,Unpaid Bills,"$54,930",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,"BELIEVE IN SF, LURIE FOR MAYOR 2024",Unpaid Bills,"$365,440",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,DANIEL LURIE FOR MAYOR 2024,Payments,"$9,266,046",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,"BELIEVE IN SF, LURIE FOR MAYOR 2024",Payments,"$5,958,887",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,TogetherSF Action,Independent Expenditure,"$1,523",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,San Francisco Deputy Sheriffs' Association Political Action Committee,Independent Expenditure,"$2,500",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940",,,
MAYOR,DANIEL LURIE,SUPPORT,DANIEL LURIE,"BELIEVE IN SF, LURIE FOR MAYOR 2024",Independent Expenditure,"$323,412",,,
MAYOR,DYLAN HIRSCH-SHELL,SUPPORT,DYLAN HIRSCH-SHELL,DYLAN HIRSCH-SHELL FOR MAYOR 2024,Unpaid Bills,"-$3,000",,,
MAYOR,DYLAN HIRSCH-SHELL,SUPPORT,DYLAN HIRSCH-SHELL,DYLAN HIRSCH-SHELL FOR MAYOR 2024,Payments,"$147,235",,,
MAYOR,ELLEN LEE ZHOU,SUPPORT,ELLEN LEE ZHOU,ELLEN LEE ZHOU FOR MAYOR 2024,Unpaid Bills,$0,,,
MAYOR,ELLEN LEE ZHOU,SUPPORT,ELLEN LEE ZHOU,ELLEN LEE ZHOU FOR MAYOR 2024,Payments,"$27,018",,,
MAYOR,KEITH FREEDMAN,SUPPORT,KEITH FREEDMAN,KEITH FREEDMAN FOR MAYOR 2024,Unpaid Bills,$0,,,
MAYOR,KEITH FREEDMAN,SUPPORT,KEITH FREEDMAN,KEITH FREEDMAN FOR MAYOR 2024,Payments,"$7,343",,,
MAYOR,LONDON BREED,OPPOSE,AHSHA SAFAI,WORKING FAMILIES OPPOSING LONDON BREED FOR MAYOR 2024 SPONSORED BY SAN FRANCISCO BUILDING AND CONSTRUCTION TRADES COUNCIL,Unpaid Bills,$0,,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,WORKING FAMILIES OPPOSING LONDON BREED FOR MAYOR 2024 SPONSORED BY SAN FRANCISCO BUILDING AND CONSTRUCTION TRADES COUNCIL,Unpaid Bills,$0,,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,CITIZENS OPPOSING RE-ELECTION OF MAYOR LONDON BREED 2024,Unpaid Bills,$0,,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,WORKING FAMILIES OPPOSING LONDON BREED FOR MAYOR 2024 SPONSORED BY SAN FRANCISCO BUILDING AND CONSTRUCTION TRADES COUNCIL,Payments,"$167,000",,,
MAYOR,LONDON BREED,OPPOSE,AHSHA SAFAI,WORKING FAMILIES OPPOSING LONDON BREED FOR MAYOR 2024 SPONSORED BY SAN FRANCISCO BUILDING AND CONSTRUCTION TRADES COUNCIL,Payments,"$167,000",,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,CITIZENS OPPOSING RE-ELECTION OF MAYOR LONDON BREED 2024,Payments,"$15,265",,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,TogetherSF Action,Independent Expenditure,"$80,972",,,
MAYOR,LONDON BREED,OPPOSE,AARON PESKIN,"SAN FRANCISCO WORKING FAMILIES VOTER GUIDE SUPPORTING AARON PESKIN FOR MAYOR, SPONSORED BY HEALTHCARE, HOSPITALITY, AND SERVICE WORKERS UNIONS",Independent Expenditure,"$4,167",,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,San Francisco Deputy Sheriffs' Association Political Action Committee,Independent Expenditure,"$110,142",,,
MAYOR,LONDON BREED,OPPOSE,MARK FARRELL,CITIZENS OPPOSING RE-ELECTION OF MAYOR LONDON BREED 2024,Independent Expenditure,"$3,524",,,
MAYOR,LONDON BREED,OPPOSE,DANIEL LURIE,"BELIEVE IN SF, LURIE FOR MAYOR 2024",Independent Expenditure,"$43,647",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,RE-ELECT MAYOR LONDON BREED 2024,Unpaid Bills,"$14,643",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,"FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",Unpaid Bills,"$531,981",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,RE-ELECT MAYOR LONDON BREED 2024,Payments,"$2,266,391",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,"FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",Payments,"$2,504,391",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,TogetherSF Action,Independent Expenditure,"$1,523",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,"Our Future, Our SF Opposing Lurie & Farrell for Mayor 2024",Independent Expenditure,"$25,010",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,"FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",Independent Expenditure,"$3,292",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940",,,
MAYOR,LONDON BREED,SUPPORT,LONDON BREED,Alice B. Toklas Lesbian and Gay Democratic Club PAC,Independent Expenditure,"$5,809",,,
MAYOR,MARK FARRELL,OPPOSE,-,"STOP MAGA MARK 2024, OPPOSING FARRELL FOR MAYOR",Unpaid Bills,"$5,120",,,
MAYOR,MARK FARRELL,OPPOSE,AARON PESKIN,"SAVE OUR CITY SF, OPPOSING MARK FARRELL FOR MAYOR 2024 - SPONSORED BY LABOR ORGANIZATIONS",Unpaid Bills,$0,,,
MAYOR,MARK FARRELL,OPPOSE,-,"STOP MAGA MARK 2024, OPPOSING FARRELL FOR MAYOR",Payments,$0,,,
MAYOR,MARK FARRELL,OPPOSE,AARON PESKIN,"SAVE OUR CITY SF, OPPOSING MARK FARRELL FOR MAYOR 2024 - SPONSORED BY LABOR ORGANIZATIONS",Payments,"$251,084",,,
MAYOR,MARK FARRELL,OPPOSE,LONDON BREED,"Our Future, Our SF Opposing Lurie & Farrell for Mayor 2024",Independent Expenditure,"$113,995",,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,SAFER SAN FRANCISCO FOR MARK FARRELL FOR MAYOR 2024,Unpaid Bills,$0,,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,MARK FARRELL FOR MAYOR 2024,Unpaid Bills,"$10,800",,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,SAFER SAN FRANCISCO FOR MARK FARRELL FOR MAYOR 2024,Payments,"$3,107,220",,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,MARK FARRELL FOR MAYOR 2024,Payments,"$2,212,204",,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,San Francisco Deputy Sheriffs' Association Political Action Committee,Independent Expenditure,"$256,387",,,
MAYOR,MARK FARRELL,SUPPORT,MARK FARRELL,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940",,,
MAYOR,NELSON MEI,SUPPORT,MARK FARRELL,NELSON MEI FOR MAYOR 2024,Unpaid Bills,$0,,,
MAYOR,NELSON MEI,SUPPORT,MARK FARRELL,NELSON MEI FOR MAYOR 2024,Payments,$0,,,
